publication_number,title,assignee,filing_date,publication_date,patent_type
US-2025272414-A1,Distributed architecture for artificial intelligence model distribution and access control ,"Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
US-2025245592-A1,Artificial intelligence driven user interface structure grounding for automated generation of actionable tasks ,"Microsoft Technology Licensing, Llc",2024-01-25,2025-07-31,A1
US-2025292109-A1,Enterprise knowledge graphs for enhanced prompts to generative artificial intelligence (ai) system ,"Microsoft Technology Licensing, Llc",2024-03-14,2025-09-18,A1
WO-2025235056-A1,Artificial intelligence generated virtual gift wrap for content ,"Microsoft Technology Licensing, Llc",2024-05-08,2025-11-13,A1
US-2025272363-A1,Secure enforcement of digital rights in artificial intelligence models ,"Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
US-12596771-B2,Secure enforcement of digital rights in artificial intelligence models ,"Microsoft Technology Licensing, Llc",,2026-04-07,B2
TW-202411888-A,Hierarchical programming model for artificial intelligence hardware ,"Microsoft Technology Licensing, Llc",2022-09-09,2024-03-16,A
US-2026075014-A1,Artificial intelligence-based system and method for generating and recommending personalized graphics for messaging applications ,"Microsoft Technology Licensing, Llc",2024-09-10,2026-03-12,A1
WO-2024186713-A1,Artificial intelligence-powered aggregation of project-related collateral ,"Microsoft Technology Licensing, Llc",2023-03-09,2024-09-12,A1
US-2025378816-A1,Methods and systems for training an artificial intelligence (ai) total duration-aware model to control the total duration of speech utterances by a text-to-speech (tts) computing sytem ,"Microsoft Technology Licensing, Llc",2024-06-05,2025-12-11,A1
WO-2025043697-A1,Creating textual output with the writing style of a specific user using generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-09-01,2025-03-06,A1
WO-2026035355-A1,Searching parallel schedules for execution of artificial intelligence workloads ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2026080156-A1,Custom complex document design via artificial intelligence integration ,"Microsoft Technology Licensing, Llc",2024-09-19,2026-03-19,A1
WO-2026035351-A1,Mixed parallelism for execution of artificial intelligence workloads ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2025322176-A1,Artificial intelligence (ai)-based illustrated story generation service ,"Microsoft Technology Licensing, Llc",2024-04-10,2025-10-16,A1
WO-2026035356-A1,Automatic parallel execution of artificial intelligence workloads ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2026093915-A1,Automated artificial intelligence driven readability scoring techniques ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
US-2025173648-A1,Automatically generating a workflow using responses to ai-generated inquiries as inputs to a generative ai model ,"Microsoft Technology Licensing, Llc",2023-11-27,2025-05-29,A1
US-2025322168-A1,Artificial intelligence (ai)-based inclusive prompt recommendations and filtering ,"Microsoft Technology Licensing, Llc",2024-04-10,2025-10-16,A1
US-2026044427-A1,Automatic parallel execution of artificial intelligence workloads ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2025278826-A1,Adjusting manufacturing parameters using artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-02-29,2025-09-04,A1
US-2025328317-A1,Navigation from external code snippet symbols ,"Microsoft Technology Licensing, Llc",2024-04-18,2025-10-23,A1
WO-2024215586-A1,Machine learning aided diagnosis and prognosis of large scale distributed systems ,"Microsoft Technology Licensing, Llc",2023-04-14,2024-10-17,A1
US-2024281593-A1,Method and system for content distribution including content restructuring for increased readability ,"Microsoft Technology Licensing, Llc",2023-02-20,2024-08-22,A1
EP-4672054-A1,AI-based detection of malicious activity using a threat actor profile ,"Microsoft Technology Licensing, LLC",2024-06-28,2025-12-31,A1
EP-4632556-A1,Ai-based generation of a computer program using compiler-gathered semantic information about target code ,"Microsoft Technology Licensing, LLC",2024-04-11,2025-10-15,A1
US-2025053728-A1,Intelligent capturing of user-viewed content for note keeping ,"Microsoft Technology Licensing, Llc",2023-08-09,2025-02-13,A1
EP-4657246-A1,Compressing and transforming vector operations in an ai model ,"Microsoft Technology Licensing, LLC",2024-05-26,2025-12-03,A1
US-2026006047-A1,Ai-based entity maliciousness analysis using embedding and sampling ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2026087521-A1,Dynamic ad audience optimization and stage transition framework ,"Microsoft Technology Licensing, Llc",2024-09-20,2026-03-26,A1
US-2025156027-A1,Multi-modal cursor and systems for switching modes of a cursor ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-15,A1
US-2026057243-A1,Inducing hallucination for machine learning-based content retrieval ,"Microsoft Technology Licensing, Llc",2024-08-21,2026-02-26,A1
US-2025390895-A1,Attention-based data-driven attribution ,"Microsoft Technology Licensing, Llc",2024-06-24,2025-12-25,A1
WO-2025231654-A1,Natural language processing for datacenter operationalization and automation ,"Microsoft Technology Licensing, Llc",2024-05-08,2025-11-13,A1
US-2025322802-A1,Performing computing operations using a collective property of electromagnetic energy observed through transparent displays background ,"Microsoft Technology Licensing, Llc",2024-04-15,2025-10-16,A1
EP-4693068-A1,Adaptive user representation system ,"Microsoft Technology Licensing, LLC",2024-08-09,2026-02-11,A1
US-12511324-B1,Context-aware domain-specific content filtering ,"Microsoft Technology Licensing, Llc.",2024-10-01,2025-12-30,B1
WO-2026005846-A1,Iterative data processing optimization engine in a data intelligence system ,"Microsoft Technology Licensing, Llc",2024-06-29,2026-01-02,A1
WO-2025189333-A1,Context-aware data distillation for task-agnostic prompt compression ,"Microsoft Technology Licensing, Llc",2024-03-12,2025-09-18,A1
WO-2024220308-A1,Generative thought starters ,"Microsoft Technology Licensing, Llc",2023-04-21,2024-10-24,A1
WO-2025122298-A1,Ai-based conversion of a natural language prompt to a system-specific segment definition using entity reduction and renaming ,"Microsoft Technology Licensing, Llc",2023-12-06,2025-06-12,A1
US-2025190406-A1,Ai-based converson of a natural language prompt to a system-specific segment definition using entity reduction and renaming ,"Microsoft Technology Licensing, Llc",2023-12-06,2025-06-12,A1
EP-4647896-A1,Ai-based code generation using a dynamically constructed symbol graph and code skeletons ,"Microsoft Technology Licensing, LLC",2024-05-07,2025-11-12,A1
EP-4681111-A1,Visual collaboration system ai copilot for idea generation ,"Microsoft Technology Licensing, LLC",2023-03-17,2026-01-21,A1
US-2025156026-A1,Cursor prompt interfaces for facilitating multiple functionality ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-15,A1
WO-2026054882-A1,Automation plan creation and validation using generative ai ,"Microsoft Technology Licensing, Llc",2024-09-06,2026-03-12,A1
US-2025278485-A1,Ai-based file maliciousness classification with an explanation of reasoning ,"Microsoft Technology Licensing, Llc",2024-03-01,2025-09-04,A1
US-2025368219-A1,Dynamic agents with real-time alignment ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-12197501-B2,Historical data-based video categorizer ,"Microsoft Technology Licensing, Llc",2023-05-31,2025-01-14,B2
EP-4657314-A1,Dynamic agents with real-time alignment ,"Microsoft Technology Licensing, LLC",2024-05-30,2025-12-03,A1
EP-4636599-A1,Garbage collection analysis prompt engineering ,"Microsoft Technology Licensing, LLC",2024-04-19,2025-10-22,A1
US-2026017592-A1,Entity-specific data analysis engine in a data intelligence system ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
WO-2024163127-A1,System and method for providing real-time speech recommendations during verbal communication ,"Microsoft Technology Licensing, Llc",2023-01-31,2024-08-08,A1
CN-118871927-A,Sparsity and Quantization for Deep Neural Networks ,"Microsoft Technology Licensing, Llc",2022-04-04,2024-10-29,A
WO-2025075779-A1,Dynamic query planning and execution ,"Microsoft Technology Licensing, Llc",2023-10-02,2025-04-10,A1
WO-2026035354-A1,Intelligent router for distributing requests to different generative ai instances ,"Microsoft Technology Licensing, Llc",2024-08-09,2026-02-12,A1
US-2025247303-A1,Cloud architect ,"Microsoft Technology Licensing, Llc",2024-01-31,2025-07-31,A1
US-2025278563-A1,Holistic embedding generation for entity matching ,"Microsoft Technology Licensing, Llc",2024-02-29,2025-09-04,A1
US-12596872-B2,Holistic embedding generation for entity matching ,"Microsoft Technology Licensing, Llc",,2026-04-07,B2
US-2023385348-A1,Content moderation service for system generated content ,"Microsoft Technology Licensing, Llc",2022-05-26,2023-11-30,A1
US-2026030281-A1,Query response generation in a developer tool using semantically related keywords in relevant code chunks ,"Microsoft Technology Licensing, Llc",2024-07-24,2026-01-29,A1
US-2025028902-A1,Textual encoding and analysis with a large graphical language model ,"Microsoft Technology Licensing, Llc",2023-07-18,2025-01-23,A1
WO-2024191669-A1,Systems and methods to summarize change in an electronic workspace ,"Microsoft Technology Licensing, Llc",2023-03-15,2024-09-19,A1
US-2026003927-A1,Add-in recommendation system ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
EP-4660828-A1,System and method for database command query migration ,"Microsoft Technology Licensing, LLC",2024-06-07,2025-12-10,A1
EP-4703907-A1,User interface action tracking for quality evaluation of ai-generated content ,"Microsoft Technology Licensing, LLC",2024-09-03,2026-03-04,A1
US-12596871-B2,Textual encoding and analysis with a large graphical language model ,"Microsoft Technology Licensing, Llc",,2026-04-07,B2
US-2026057214-A1,Incorporating complex product requirements in search ranking system ,"Microsoft Technology Licensing, Llc",2024-08-26,2026-02-26,A1
WO-2025254715-A1,Generative agent guided conversations for artifact completion ,"Microsoft Technology Licensing, Llc",2024-06-06,2025-12-11,A1
US-2025254138-A1,People-centric digital memory system for a digital assistant ,"Microsoft Technology Licensing, Llc",2024-02-07,2025-08-07,A1
WO-2025106221-A1,Fractional processing capacity allocation based on estimated load ,"Microsoft Technology Licensing, Llc",2023-11-13,2025-05-22,A1
US-2025156234-A1,Fractional processing capacity allocation based on estimated load ,"Microsoft Technology Licensing, Llc",2023-11-13,2025-05-15,A1
US-2025130884-A1,Automatic identification of root cause and mitigation steps for incidents generated in an incident management system ,"Microsoft Technology Licensing, Llc",2023-10-19,2025-04-24,A1
US-12561374-B1,Entity driven templates for customized user prompts ,"Microsoft Technology Licensing, Llc.",2024-11-26,2026-02-24,B1
US-2025219943-A1,Network processor primitives for workloads in a software defined network ,"Microsoft Technology Licensing, Llc",2023-12-29,2025-07-03,A1
WO-2025212167-A1,Ai-based software pipeline transformation ,"Microsoft Technology Licensing, Llc",2024-04-01,2025-10-09,A1
WO-2024186589-A1,Conversational large language model-based user tenant orchestration ,"Microsoft Technology Licensing, Llc",2023-03-05,2024-09-12,A1
US-2025371065-A1,Adaptive misinformation detection ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
US-2025383871-A1,Processing for processors performing tasks using programmable lookup table ,"Microsoft Technology Licensing, Llc",2024-06-14,2025-12-18,A1
US-2026017079-A1,Generating actions in a computing network using an ai agent ,"Microsoft Technology Licensing, Llc",2024-07-12,2026-01-15,A1
US-2025378003-A1,Software analysis work allocation ,"Microsoft Technology Licensing, Llc",2024-06-10,2025-12-11,A1
US-2025193132-A1,Usage scenarios for unified multichannel communication platform ,"Microsoft Technology Licensing, Llc",2023-12-12,2025-06-12,A1
US-2025335217-A1,Trigger mechanism for generating graphical captures enabling downstream user experiences ,"Microsoft Technology Licensing, Llc",2024-04-30,2025-10-30,A1
US-2026017369-A1,Geographically diversified embedding-based guided response to a security alert ,"Microsoft Technology Licensing, Llc",2024-07-11,2026-01-15,A1
US-12591480-B2,Automatic identification of root cause and mitigation steps for incidents generated in an incident management system ,"Microsoft Technology Licensing, Llc",,2026-03-31,B2
US-2025355697-A1,Task management interfaces for end-to-end task processing and sub-task generation and modification ,"Microsoft Technology Licensing, Llc",2024-05-15,2025-11-20,A1
US-2024422248-A1,Sip services ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
US-2026057580-A1,Ai-based photo design idea generation and implementation ,"Microsoft Technology Licensing, Llc",2024-08-26,2026-02-26,A1
US-2025384207-A1,Dynamic evaluation system for responsible ai in large language models ,"Microsoft Technology Licensing, Llc",2024-06-13,2025-12-18,A1
US-2026057089-A1,Modular cybersecurity engine in a data intelligence system ,"Microsoft Technology Licensing, Llc",2024-08-20,2026-02-26,A1
US-2026087368-A1,Fine-tuning language models for reasoning with counterfactual feedback ,"Microsoft Technology Licensing, Llc",2024-09-26,2026-03-26,A1
US-2025356057-A1,Detecting generative machine learning model content ,"Microsoft Technology Licensing, Llc",2024-05-20,2025-11-20,A1
US-2025272313-A1,Resource conservation based on query complexity ,"Microsoft Technology Licensing, Llc",2024-02-28,2025-08-28,A1
US-2025335161-A1,Ai annotated quality gating ,"Microsoft Technology Licensing, Llc",2024-04-30,2025-10-30,A1
US-12463924-B1,Method and system of generating training data for identifying messages related to meetings ,"Microsoft Technology Licensing, Llc",2024-05-01,2025-11-04,B1
WO-2024205919-A9,Adapting foundation models for information synthesis of wireless communication specifications ,"Microsoft Technology Licensing, Llc",2023-03-31,2025-03-06,A9
WO-2024233119-A1,Generative collaborative message suggestions ,"Microsoft Technology Licensing, Llc",2023-05-11,2024-11-14,A1
US-2025156464-A1,Dynamic data processing of structured data and adaptive contextual mining of unstructured data during skill runtime ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-15,A1
US-2025156778-A1,Intelligent and personalized skill discovery ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-15,A1
WO-2024233120-A1,Generative collaborative message suggestions ,"Microsoft Technology Licensing, Llc",2023-05-11,2024-11-14,A1
US-2025328536-A1,Generative search engine text documents ,"Microsoft Technology Licensing, Llc",2024-04-23,2025-10-23,A1
EP-4699028-A1,Limiting a number of illegitimate interrupts from switching a central processing unit to a system management mode ,"Microsoft Technology Licensing, LLC",2023-04-17,2026-02-25,A1
EP-4672027-A1,SYSTEM AND METHOD FOR GENERATING QUERY VARIATIONS FOR RETRIEVING SYSTEMS OF EXTENDED GENERATION (RAG) ,"Microsoft Technology Licensing, LLC",2024-06-28,2025-12-31,A1
US-2026094025-A1,Verification of retrieval augmented generation for models ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
CN-120656592-A,Universal processing of molecular related tasks ,"Microsoft Technology Licensing, Llc",2024-03-13,2025-09-16,A
US-2025307871-A1,Gai modeling for audience targeting ,"Microsoft Technology Licensing, Llc",2024-03-28,2025-10-02,A1
EP-4597391-A1,Email management engine in an electronic mail system ,"Microsoft Technology Licensing, LLC",2024-01-30,2025-08-06,A1
WO-2025006176-A1,End-to-end automation optimization flywheel ,"Microsoft Technology Licensing, Llc",2023-06-30,2025-01-02,A1
WO-2025207190-A1,Secure ai authentication and interaction ,"Microsoft Technology Licensing, Llc",2024-03-27,2025-10-02,A1
US-2026019322-A1,Using ai agents to perform actions in a computing network ,"Microsoft Technology Licensing, Llc",2024-07-12,2026-01-15,A1
US-12561379-B2,Web transformers ,"Microsoft Technology Licensing, Llc",2024-04-29,2026-02-24,B2
US-2026064890-A1,Training Data Provenance System and Method ,"Microsoft Technology Licensing, Llc",2024-09-03,2026-03-05,A1
US-2025377871-A1,Extensible software analysis architecture ,"Microsoft Technology Licensing, Llc",2024-06-10,2025-12-11,A1
TW-202542689-A,Thermo-mechanical power smoothing for distributed computation servers ,"Microsoft Technology Licensing, Llc",2024-04-26,2025-11-01,A
WO-2024221382-A1,Neurosymbolic preprocessing for efficient data classification ,"Microsoft Technology Licensing, Llc, Yang, Ziyi",2023-04-28,2024-10-31,A1
WO-2026054872-A1,Training data provenance system and method ,"Microsoft Technology Licensing, Llc",2024-09-03,2026-03-12,A1
US-2025245888-A1,System for contextual image editing ,"Microsoft Technology Licensing, Llc",2024-01-30,2025-07-31,A1
EP-4660839-A1,System and method for processing queries against semantic cache entries using unique distance-based thresholds ,"Microsoft Technology Licensing, LLC",2024-06-07,2025-12-10,A1
US-2026057011-A1,Ghosting for multimodal dialogs ,"Microsoft Technology Licensing, Llc",2023-11-15,2026-02-26,A1
US-2026017848-A1,Method and system of recoloring artifacts based on various parameters ,"Microsoft Technology Licensing, Llc",2024-07-11,2026-01-15,A1
US-12541367-B2,Processing for processors performing tasks having forward conditional branch instructions ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-02-03,B2
US-2024394017-A1,Masking-based digital binary multiplier ,"Microsoft Technology Licensing, Llc",2023-05-22,2024-11-28,A1
US-2025077790-A1,Second-chance message enhancements ,"Microsoft Technology Licensing, Llc",2023-08-29,2025-03-06,A1
US-2025260655-A1,Automated text-to-optimization routing ,"Microsoft Technology Licensing, Llc",2024-02-14,2025-08-14,A1
US-2025335342-A1,Ai exception interpreter ,"Microsoft Technology Licensing, Llc",2024-04-24,2025-10-30,A1
EP-4586092-A1,Module deployment management for constrained devices ,"Microsoft Technology Licensing, LLC",2024-01-12,2025-07-16,A1
US-2026075137-A1,Managing communication disruptions in network-based communication sessions ,"Microsoft Technology Licensing, Llc",2024-09-06,2026-03-12,A1
US-2025306965-A1,Smart application window layouts ,"Microsoft Technology Licnesing, Llc",2024-03-29,2025-10-02,A1
US-2025140355-A1,Framework for analyzing properties of chemical materials ,"Microsoft Technology Licensing, Llc",2023-10-31,2025-05-01,A1
US-2025371244-A1,Font management engine in a design system ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
WO-2024242874-A1,Neuronal cell cultures as compute substrates ,"Microsoft Technology Licensing, Llc",2023-05-19,2024-11-28,A1
US-2026072714-A1,Method and system of automatically generating help documentation ,"Microsoft Technology Licensing, Llc",2023-11-30,2026-03-12,A1
US-12566657-B1,Detecting memory hazards in massively parallel and distributed systems ,"Microsoft Technology Licensing, Llc",2024-10-24,2026-03-03,B1
US-2024386258-A1,Neuronal cell cultures as compute substrates ,"Microsoft Technology Licensing, Llc",2023-05-19,2024-11-21,A1
WO-2026072135-A1,Fine-tuning language models for reasoning with counterfactual feedback ,"Microsoft Technology Licensing, Llc",2024-09-26,2026-04-02,A1
WO-2024242872-A1,Framework to test learning of neuronal cell cultures ,"Microsoft Technology Licensing, Llc",2023-05-19,2024-11-28,A1
CN-120476381-A,Feature Discovery Layer ,"Microsoft Technology Licensing, Llc",2023-03-01,2025-08-12,A
US-2025310281-A1,Contextualizing chat responses based on conversation history ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2025330501-A1,Adding a server to a call ,"Microsoft Technology Licensing, Llc",2024-04-19,2025-10-23,A1
US-2025094237-A1,Capacity-based load balancing in shared resource pool ,"Microsoft Technology Licensing, Llc",2023-09-20,2025-03-20,A1
US-2025342350-A1,Software task completion time estimator ,"Microsoft Technology Licensing, Llc",2024-05-03,2025-11-06,A1
US-2025307328-A1,Dynamic thread states ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2025379884-A1,Cyber-attack detection in a logging system ,"Microsoft Technology Licensing, Llc",2024-06-07,2025-12-11,A1
US-2024295942-A1,Feature discovery layer ,"Microsoft Technology Licensing, Llc",2023-03-01,2024-09-05,A1
US-12216720-B2,Group recommendation for user-generated content ,"Microsoft Technology Licensing, Llc",2023-02-21,2025-02-04,B2
US-12298880-B2,AI agent for pre-build configuration of cloud services ,"Microsoft Technology Licensing, Llc.",2023-10-13,2025-05-13,B2
US-2026030051-A1,System for transferring workflows between software applications ,"Microsoft Technology Licensing, Llc",2024-07-26,2026-01-29,A1
US-2025209545-A1,Generating user profile summaries based on viewer intent ,"Microsoft Technology Licensing, Llc",2023-12-22,2025-06-26,A1
WO-2024258802-A1,Deployment of meta-model topologies and moderating graph generation ,"Microsoft Technology Licensing, Llc",2023-06-12,2024-12-19,A1
US-2026003677-A1,Partitioned store queue engine in a semiconductor system ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2025131054-A1,Semantic-aware next best action recommendation ,"Microsoft Technology Licensing, Llc",2023-09-08,2025-04-24,A1
US-2024403694-A1,Group recommendation based on topic clustering ,"Microsoft Technology Licensing, Llc",2023-05-31,2024-12-05,A1
US-2025291640-A1,Detection and extension of proximate compute ,"Microsoft Technology Licensing, Llc",2024-03-12,2025-09-18,A1
WO-2025122314-A1,Three dimensional spatial instructions for artifical intelligence assistance authoring ,"Microsoft Technology Licensing, Llc",2023-12-08,2025-06-12,A1
WO-2026015262-A1,Hardware accelerator with configurable tensor operation pipeline ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
US-2026017060-A1,Configuring a tensor operation pipeline in a hardware accelerator ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
US-2026086501-A1,Correction of ghost artifacts in extended reality systems ,"Microsoft Technology Licensing, Llc",2024-09-23,2026-03-26,A1
US-2024421842-A1,Transmission power management with parameterized assigned classification filters ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
US-2025377863-A1,Content generation based on domain-specific language domains ,"Microsoft Technology Licensing, Llc",2024-06-07,2025-12-11,A1
US-12591448-B2,Server-side control of power based on service-level agreement ,"Microsoft Technology Licensing, Llc",,2026-03-31,B2
US-2025147784-A1,Server-side control of power based on service-level agreement ,"Microsoft Technology Licensing, Llc",2023-11-02,2025-05-08,A1
US-2025378007-A1,Multi-agent workflows for resolving coding complications via generative ai integrations ,"Microsoft Technology Licensing, Llc",2024-06-07,2025-12-11,A1
US-2025384077-A1,System and Method for Semi-Supervised Taxonomy Tagging of Documents ,"Microsoft Technology Licensing, Llc",2024-06-12,2025-12-18,A1
US-2026094726-A1,Input augmentation for guiding generative applications in evidence-supported clinical information extraction ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
US-2025278623-A1,De-biasing framework for deep learning models ,"Microsoft Technology Licensing, Llc",2024-02-29,2025-09-04,A1
US-2025315254-A1,Software development prioritization using trained model ,"Microsoft Technology Licensing, Llc",2024-04-05,2025-10-09,A1
US-2025315719-A1,Performance evaluation of generative question-answering systems ,"Microsoft Technology Licensing, Llc",2024-04-05,2025-10-09,A1
US-2025370899-A1,Development-time simulation of an effect of a requested change to native code ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-12530460-B2,Automated governance policy-based security for a cloud native application ,"Microsoft Technology Licensing, Llc",2024-05-31,2026-01-20,B2
US-2026080068-A1,Threat actor infrastructure profiling using a graph and reputation propagation ,"Microsoft Technology Licensing, Llc",2024-09-17,2026-03-19,A1
US-2026056861-A1,Identifying sources of performance variability using relevant performance data ,"Microsoft Technology Licensing, Llc",2024-08-22,2026-02-26,A1
US-2025232786-A1,Enhanced user interfaces for paralinguistics ,"Microsoft Technology Licensing, Llc",2024-01-12,2025-07-17,A1
US-2026064980-A1,Aligning large language models with in-situ user interactions and feedback ,"Microsoft Technology Licensing, Llc",2024-08-27,2026-03-05,A1
WO-2026049857-A1,Aligning large language models with in-situ user interactions and feedback ,"Microsoft Technology Licensing, Llc",2024-08-27,2026-03-05,A1
US-2026086918-A1,Execution-time telemetry for teams group copilot evaluation framework ,"Microsoft Technology Licensing, Llc",2024-09-23,2026-03-26,A1
US-2026094061-A1,Identifying noise in verbal feedback using artificial text from non-textual parameters and transfer learning ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
US-2026089306-A1,Adjustment of a monocular display parameter to display content ,"Microsoft Technology Licensing, Llc",2024-09-25,2026-03-26,A1
EP-4653937-A1,Adaptive self-calibration of a laser beam scanning display ,"Microsoft Technology Licensing, LLC",2024-05-24,2025-11-26,A1
WO-2025058995-A1,Generating small language model via two-phase training ,"Microsoft Technology Licensing, Llc",2023-09-11,2025-03-20,A1
US-2025103287-A1,Direct fixed point to fixed point data conversion approximating floating point precision in hardware accelerator ,"Microsoft Technology Licensing, Llc",2023-09-26,2025-03-27,A1
US-2025348483-A1,Framework for language model copilot development ,"Microsoft Technology Licensing, Llc",2024-05-07,2025-11-13,A1
US-2025362942-A1,Automated content generation for instructional information via generative ai integration ,"Microsoft Technology Licensing, Llc",2024-05-22,2025-11-27,A1
US-12481484-B2,Fixing usages of deprecated APIs using large language models ,"Microsoft Technology Licensing, Llc",2023-10-27,2025-11-25,B2
WO-2024063897-A1,Stochasticity mitigation in deployed ai agents ,"Microsoft Technology Licensing, Llc",2022-09-19,2024-03-28,A1
US-2025350703-A1,Personalized digital meeting agent ,"Microsoft Technology Licensing, Llc",2024-05-09,2025-11-13,A1
US-2025258996-A1,System for enhanced ink gesture support ,"Microsoft Technology Licensing, Llc",2024-02-12,2025-08-14,A1
US-2025335631-A1,Verbatim feedback processing for compliant retention ,"Microsoft Technology Licensing, Llc",2024-04-30,2025-10-30,A1
WO-2024243959-A1,System to place and protect interruptible workloads in cloud environment ,"Microsoft Technology Licensing, Llc",2023-06-01,2024-12-05,A1
WO-2025244708-A1,Method and system of intelligent risk analysis and risk mitigation for a project ,"Microsoft Technology Licensing, Llc",2024-05-20,2025-11-27,A1
US-2025259095-A1,Fine-Grained Selective Quantization to Maximize Hardware Resource Utilization ,"Microsoft Technology Licensing, Llc",2024-02-08,2025-08-14,A1
US-2025139235-A1,Detection of malicious direct memory access device used for direct device assignment ,"Microsoft Technology Licensing, Llc",2023-10-31,2025-05-01,A1
US-2025373576-A1,Generating responses to user input using facets ,"Microsoft Technology Licensing, Llc",2024-06-03,2025-12-04,A1
US-2026004057-A1,Structured Generation of Long-Form Text ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2024419709-A1,"Devices, systems, and methods for implementing an llm tag in a large language model ","Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
WO-2024173728-A1,Generative collaborative publishing system ,"Microsoft Technology Licensing, Llc",2023-02-15,2024-08-22,A1
TW-202503508-A,Determining shared exponent values for shared exponent floating point data types ,"Microsoft Technology Licensing, Llc",2023-05-30,2025-01-16,A
US-12430388-B1,AI-based personalized bulk design content creation ,"Microsoft Technology Licensing, Llc",2024-05-02,2025-09-30,B1
US-2026072780-A1,System and method for automated memory issue resolution ,"Microsoft Technology Licensing, Llc",2024-09-09,2026-03-12,A1
US-2025356294-A1,Method and system of intelligent risk analysis and risk mitigation for a project ,"Microsoft Technology Licensing, Llc",2024-05-20,2025-11-20,A1
EP-4607509-A1,Providing generative content within a voice capture session using large generative models ,"Microsoft Technology Licensing, LLC",2024-02-26,2025-08-27,A1
US-2024419402-A1,Zero-detection for logic circuit multiplication ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
EP-4687115-A1,Controlling complexity of captioning that uses a vision language model ,"Microsoft Technology Licensing, LLC",2024-07-30,2026-02-04,A1
US-2024378310-A1,Intelligent feature control ,"Microsoft Technology Licensing, Llc",2023-05-08,2024-11-14,A1
US-2025094714-A1,Structured dialogue segmentation and state tracking ,"Microsoft Technology Licensing, Llc",2023-09-14,2025-03-20,A1
US-2025124623-A1,Generating editable templates for designs ,"Microsoft Technology Licensing, Llc",2023-10-12,2025-04-17,A1
US-2025315617-A1,Optimization of retrieval augmented generation using data-driven templates ,"Microsoft Technology Licensing, Llc",2024-04-05,2025-10-09,A1
US-12596873-B2,Optimization of retrieval augmented generation using data-driven templates ,"Microsoft Technology Licensing, Llc",,2026-04-07,B2
US-2024412045-A1,Large tensor tiling ,"Microsoft Technology Licensing, Llc",2023-06-08,2024-12-12,A1
CN-120530430-A,Cloud model orchestration of onboard data ,"Microsoft Technology Licensing, Llc",2023-02-17,2025-08-22,A
CN-120530432-A,On-orbit model orchestration of spaceborne data ,"Microsoft Technology Licensing, Llc",2023-02-17,2025-08-22,A
US-2025259067-A1,Compressing a large language model that includes low rank adaption modules ,"Microsoft Technology Licensing, Llc",2024-02-12,2025-08-14,A1
US-12591627-B2,Enhanced auto-suggestion functionality ,"Microsoft Technology Licensing, Llc",,2026-03-31,B2
US-2025285397-A1,Smart placement of information based on dynamic environments ,"Microsoft Technology Licensing, Llc",2023-04-24,2025-09-11,A1
US-2025278490-A1,Autonomous threat protection engine in a security management system ,"Microsoft Technology Licensing, Llc",2024-03-04,2025-09-04,A1
WO-2024129521-A1,Method and system for detecting malicious applications ,"Microsoft Technology Licensing, Llc",2022-12-15,2024-06-20,A1
